id,name,price,description,production_dste,expiry_date,image,stock_quantity,store_id
234,Rhoda,567.839,CGbgnEoQJDqgbYTsUCQmcDAGjHwhQKBNdabqxaUBcGOdwsVHokVHxpcPrbxlWyTDBTQrSRhnzrZrmoZFzfMh,2023-11-30,2026-11-13,vfWEskBbamkXVzlGJaaJVWwsvasDRFQpsFxaaHuZssxnFYAAsWTvvNxDsvscsMiBLaIsnN V,25,1
235,Caritta,518.854,IAJjQFcXkXuoVDuWDtDBvRQcIQHKUOdyicCWowVjxkVCdUhOgKMwHustyaWDGBWsQSmXvxKWKtAZKFEHHuMaxzUnVmKCWiOeiXpo,2023-03-27,2028-02-04,xqOsDBzmYrsiRnWaHEsrcasjcvzTXxsvxfWUsNEMdLufaZYvYDDwvqYUfJax,63,1
236,Mariele,965.495,EcTcXNWiIaegkiPdzMvYfxjfcWCOvVEOMIWBSTfijBTce bvqcxLyvQniyKfhNVoLyUkv feUuquoUkwbihpeQUUJSAAAqj,2023-11-29,2024-10-15,VWP yssMKIsaskszvsvsXRaDsIEaIpSpWwvs aoQrxXVezdduvpfssWFcaIvUvQvLsaVHMwjP as,414,1
237,Vevay,185.995,yUvTXFNUhkXCHeqYLbnyAvYzaFHvEZHtqtUzSFSZNWRxITNiivNNkAJJJrIcopSbsxunTBtzpGdmjmpUUlZ hHNIpBgJyEbG,2023-02-03,2027-06-24,YDuXvnspfxyLl WsOzasaaWaqnaYkassdsaCvdsvssiPQivTCLMvvG,480,1
238,Yvonne,937.851,ElYlYNUpaRpJjFLjRvNhlSZnEvyOPivbogWozjHIbemxeyrTZgYQnNsJKJNMOK MstjKtJvQEKRlFStlBTcvGz cSA,2023-05-18,2024-04-06,vQZoUGlEvsavjTevNaRUhksTsp dGIvaphsMOsIAmWgveaahStossaRvFWDsuOzsoprBvseBAZslOb,183,1
239,Elsie,140.062,nLDMMTXufPrgbaeVuezkTpwJUCdUAYThzcyHNwLBHQaRUONyQXBJnGrVNFiOoLLjQfrhtsoTT JkABqARPUjUazywMHjtZOkpL,2023-08-25,2029-01-02,SvyYaJsHDvHwyDiJEBaAsFvThxapnnvvFvssssh SnssRlTaLvJvlacqFsKBqvGsrQsUhz,630,2
240,Tomasina,93.09,qVxJODFhHEXtYscqxoWiZIBzdcrFAePPANnskQwwXYeaMwIyoXLsTrILAMWhjnnQPjWAxjZjcvQHJFTcDzLBq,2023-10-17,2029-06-17,CRZEecmcwauvxHCKRcszvvaSsngivYssaIsmaNuvWvStfjvUvsak,139,2
241,Eve,972.08,RyjRjEPfhTbxRcaHbqVTJavkffOYHnwueAmoKSoLiUnPvfuEnqFZOawiFoXakmXJFIuWoyyzBidtgnVijSyXXSJXdhbVXoICEY,2023-01-14,2028-04-01,kafsDZdvtRvEdDvxXOlzsNSEatUCEgisSxoavtqSjmNzpvzVJsbvLOVqdXdvBcsaa vsuIB,790,2
242,Shell,939.923, wgOrhyCXKpIpOVGRdidlWKybniEUE jjH lMKO OFCZZTDIurVmB LxSphIopliWGGfMarNkEBwwndTwLTHtIREjZZkrvxxdJNE,2023-01-22,2025-08-20,KpaiGLsGsntGkaFlavaDoeKvvaadFWveVxihjsDKnasWasAhvaasCgEUtavlOssaiarvKsaRVBdsMevkaqxzsvabO,932,3
243,Laurene,678.141,wVbnzlOinUODfNbhVNVmYXmQbqcZFoMseWBcwMyrZJOXyLjEEfGwkgTYxAHcrUKHUEUywNNxCVMVKpSHBYWm,2023-07-08,2027-07-28,dvmayQLuasvWkvDOuuWZCEi FUviYXNdVvCYsgdaLiXlhuvlsspsNasaasACVQQXEeMwmsstVptau,492,1
